Rank,Country,Region,Total Imports (Millions of Barrels 2025),Share of Total
1,🇳🇱 Netherlands,Europe,419,0.107
2,🇲🇽 Mexico,North America,398,0.102
3,🇨🇦 Canada,North America,324,0.083
4,🇰🇷 South Korea,Asia-Pacific,257,0.066
5,🇯🇵 Japan,Asia-Pacific,247,0.063
6,🇨🇳 China,Asia-Pacific,238,0.061
7,🇮🇳 India,Asia-Pacific,221,0.057
8,🇧🇷 Brazil,Central & South America,133,0.034
9,🇬🇧 United Kingdom,Europe,124,0.032
10,🇪🇸 Spain,Europe,95,0.024
11,🇹🇼 Taiwan,Asia-Pacific,82,0.021
12,🇫🇷 France,Europe,71,0.018000000000000002
13,🇨🇱 Chile,Central & South America,69,0.018000000000000002
14,🇸🇬 Singapore,Asia-Pacific,65,0.017
15,🇪🇨 Ecuador,Central & South America,63,0.016
16,🇵🇪 Peru,Central & South America,63,0.016
17,🇹🇭 Thailand,Asia-Pacific,60,0.015
18,🇮🇩 Indonesia,Asia-Pacific,57,0.015
19,🇵🇦 Panama,Central & South America,48,0.012
20,🇮🇹 Italy,Europe,48,0.012
21,🇳🇬 Nigeria,Africa,48,0.012
22,🇨🇴 Colombia,Central & South America,46,0.012
23,🇬🇹 Guatemala,Central & South America,45,0.012
24,🇩🇴 Dominican Republic,Central & South America,43,0.011000000000000001
25,🇸🇪 Sweden,Europe,43,0.011000000000000001
26,🇩🇪 Germany,Europe,42,0.011000000000000001
27,🇧🇪 Belgium,Europe,41,0.01
28,🇲🇦 Morocco,Africa,38,0.01
29,🇭🇳 Honduras,Central & South America,30,0.008
30,🇳🇴 Norway,Europe,30,0.008
31,Rest of World,World,424,0.10599999999999987
